"State","Speed","Gender","Age"
"Kentucky",55,"Female",25
"Alabama",60,"Male",88
"Mississippi",10,"Male",14
"Vermont",88,"Female",18
"Illinois",0,"Male",62
"Florida",20,"Male",32
"California",0,"Male",83
"Florida",25,"Female",16
"Florida",40,"Male",25
"Nevada",70,"Male",52
"California",10,"Female",36
"Utah",0,"Female",64
"Wisconsin",40,"Male",27
"Colorado",10,"Male",68
"Connecticut",35,"Male",25
"California",65,"Male",48
"Minnesota",55,"Male",42
"Pennsylvania",55,"Female",24
"Alabama",45,"Male",39
"Louisiana",91,"Male",24
"Florida",65,"Male",21
"North Carolina",50,"Male",27
"Indiana",0,"Female",74
"Georgia",0,"Male",61
"Alabama",60,"Male",23
"South Carolina",0,"Female",33
"Texas",0,"Male",20
"Connecticut",0,"Male",58
"California",0,"Male",47
"Pennsylvania",45,"Male",61
"South Carolina",0,"Male",37
"California",80,"Male",23
"Florida",45,"Male",21
"Virginia",55,"Male",46
"Colorado",30,"Female",74
"Mississippi",50,"Male",35
"Florida",40,"Male",53
"Colorado",85,"Female",25
"Alabama",50,"Male",55
"California",65,"Male",72
"Florida",55,"Male",22
"Florida",10,"Male",28
"Minnesota",55,"Male",48
"Arizona",35,"Male",25
"Ohio",50,"Male",38
"Florida",0,"Male",56
"Alabama",96,"Female",23
"Florida",50,"Female",52
"Pennsylvania",35,"Male",39
"Florida",65,"Male",53
"Colorado",55,"Male",24
"South Carolina",30,"Male",23
"Florida",0,"Male",30
"Florida",45,"Male",51
"Louisiana",10,"Male",43
"Texas",60,"Male",49
"South Carolina",35,"Male",32
"New Jersey",0,"Male",49
"Michigan",0,"Male",43
"Illinois",62,"Female",38
"California",38,"Male",44
"Massachusetts",65,"Female",60
"Florida",10,"Male",73
"California",68,"Male",55
"North Carolina",100,"Male",29
"Michigan",0,"Male",11
"Wisconsin",7,"Male",24
"Oregon",0,"Male",38
"California",65,"Male",23
"New Jersey",0,"Male",3
"South Carolina",9,"Male",37
"California",80,"Male",31
"North Carolina",25,"Female",45
"California",70,"Female",20
"Florida",15,"Male",37
"Alabama",5,"Male",6
"Wisconsin",55,"Male",61
"Pennsylvania",0,"Female",51
"North Carolina",55,"Male",37
"California",0,"Male",57
"Alabama",62,"Male",21
"California",60,"Male",45
"Ohio",25,"Male",32
"California",0,"Male",88
"North Carolina",75,"Male",63
"Utah",0,"Male",27
"California",53,"Female",53
"Arizona",0,"Male",55
"Pennsylvania",65,"Male",18
"North Carolina",55,"Male",43
"New York",10,"Female",5
"California",80,"Male",19
"Ohio",40,"Male",17
"Ohio",77,"Male",23
"Florida",43,"Female",13
"Florida",70,"Female",65
"North Carolina",45,"Female",52
"California",55,"Male",57
"Florida",55,"Male",69
"Missouri",29,"Female",49
"Pennsylvania",55,"Male",71
"Florida",25,"Female",41
"Mississippi",50,"Male",36
"California",27,"Female",22
"Utah",45,"Male",46
"Florida",35,"Male",65
"Arizona",43,"Male",19
"Ohio",50,"Female",67
"Ohio",0,"Male",23
"Arizona",55,"Male",22
"Virginia",90,"Female",8
"Pennsylvania",45,"Male",28
"South Carolina",45,"Male",29
"California",45,"Female",2
"Florida",30,"Male",32
"South Carolina",95,"Male",33
"North Carolina",70,"Female",16
"South Carolina",50,"Male",63
"New York",0,"Male",87
"California",50,"Male",19
"Florida",40,"Male",50
"Utah",60,"Male",22
"California",73,"Male",23
"Ohio",55,"Female",80
"Utah",0,"Female",72
"Florida",45,"Male",26
"California",50,"Male",77
"South Carolina",60,"Male",27
"South Carolina",0,"Male",25
"Alabama",45,"Male",64
"Wisconsin",75,"Female",16
"Florida",85,"Male",14
"Florida",55,"Male",1
"South Carolina",70,"Male",43
"California",25,"Male",72
"California",65,"Male",44
"Colorado",45,"Female",46
"Minnesota",55,"Male",35
"Virginia",55,"Female",21
"Missouri",0,"Male",89
"California",70,"Male",23
"North Carolina",55,"Male",40
"Mississippi",60,"Male",16
"Missouri",72,"Female",36
"Florida",50,"Male",21
"Texas",0,"Male",78
"Alabama",55,"Male",8
"North Carolina",35,"Female",29
"South Carolina",40,"Male",18
"Utah",40,"Male",18
"Florida",0,"Female",37
"South Carolina",40,"Male",62
"Florida",70,"Male",22
"Pennsylvania",25,"Female",70
"Michigan",0,"Male",21
"Florida",55,"Male",20
"Florida",43,"Male",23
"Florida",55,"Female",62
"South Carolina",36,"Female",54
"California",65,"Female",18
"Illinois",0,"Female",18
"California",0,"Male",44
"Pennsylvania",45,"Female",60
"California",38,"Male",21
"North Carolina",45,"Male",26
"Florida",50,"Male",50
"Pennsylvania",35,"Male",20
"Florida",5,"Female",16
"Colorado",45,"Male",50
"Mississippi",60,"Female",49
"California",43,"Female",21
"Florida",35,"Male",51
"North Carolina",10,"Female",87
"North Carolina",50,"Female",64
"Virginia",55,"Female",27
"Mississippi",60,"Female",29
"Nevada",42,"Female",57
"California",38,"Male",59
"Tennessee",0,"Male",56
"Utah",5,"Female",19
"North Carolina",75,"Female",24
"Florida",70,"Female",20
"Wisconsin",65,"Male",75
"Alabama",0,"Female",33
"Wisconsin",70,"Male",47
"California",50,"Male",40
"Wisconsin",0,"Female",33
"Virginia",55,"Male",47
"Missouri",48,"Male",56
"Utah",45,"Female",3
"Nevada",0,"Male",13
"California",65,"Female",42
"Pennsylvania",0,"Male",49
"North Carolina",100,"Male",37
"North Carolina",60,"Male",51
"California",0,"Male",21
"Utah",70,"Male",35
"Mississippi",65,"Male",50
"California",55,"Male",53
"Kentucky",45,"Male",71
"California",75,"Male",47
"Texas",0,"Male",34
"Florida",65,"Male",30
"Delaware",0,"Female",26
"California",65,"Male",21
"Florida",45,"Male",46
"California",50,"Male",22
"South Carolina",70,"Female",21
"Wyoming",65,"Female",57
"North Carolina",35,"Male",79
"Illinois",48,"Male",38
"Utah",55,"Male",47
"Arizona",70,"Male",54
"Louisiana",50,"Male",22
"Wisconsin",50,"Male",32
"Pennsylvania",40,"Male",39
"Alabama",85,"Female",41
"Ohio",14,"Male",18
"Florida",5,"Female",94
"North Carolina",50,"Male",34
"Wisconsin",0,"Male",74
"Arkansas",0,"Male",14
"California",55,"Male",79
"Missouri",73,"Male",7
"Florida",35,"Male",66
"Louisiana",40,"Male",35
"Nevada",88,"Male",55
"Georgia",0,"Male",35
"Kansas",51,"Male",24
"Florida",3,"Male",21
"New York",0,"Male",18
"Ohio",0,"Male",55
"California",0,"Male",56
"Florida",0,"Female",75
"California",65,"Male",51
"Florida",60,"Male",23
"Virginia",10,"Male",83
"California",46,"Male",23
"Nevada",80,"Male",44
"North Carolina",45,"Female",16
"Ohio",0,"Female",72
"New Mexico",0,"Male",35
"Florida",55,"Male",42
"Florida",70,"Male",35
"Mississippi",35,"Male",52
"Arizona",5,"Male",78
"South Carolina",40,"Male",62
"North Dakota",65,"Male",56
"Pennsylvania",35,"Male",72
"Florida",5,"Male",85
